player_id,player_name,player_positions,jersey,position_number
203900,Markel Brown,G,22,1
201152,Thaddeus Young,F,30,3
203186,Willie Reed,F-C,33,4
203080,Thomas Robinson,F,41,3
202711,Bojan Bogdanovic,G-F,44,2
2733,Shaun Livingston,G,34,1
2738,Andre Iguodala,G-F,9,2
101106,Andrew Bogut,C,12,5
201574,Jason Thompson,F-C,1,4
201575,Brandon Rush,F-G,4,2
201578,Marreese Speights,F-C,5,4
201939,Stephen Curry,G,30,1
202691,Klay Thompson,G,11,1
203084,Harrison Barnes,F,40,3
203105,Festus Ezeli,C,31,5
203110,Draymond Green,F,23,3
203546,Ian Clark,G,21,1
203949,James Michael McAdoo,F,20,3
2034,Mike Miller,G-F,3,2
2749,Jameer Nelson,G,1,1
200751,Randy Foye,G,4,1
201568,Danilo Gallinari,F,8,3
201581,JJ Hickson,C-F,7,4
201589,Darrell Arthur,F,0,3
202702,Kenneth Faried,F,35,3
203115,Will Barton,F-G,5,2
203123,Kostas Papanikolaou,F,16,3
203530,Joffrey Lauvergne,C-F,77,4
203914,Gary Harris,G,14,1
203994,Jusuf Nurkic,C,23,5
203999,Nikola Jokic,C,15,5
101139,CJ Miles,F-G,0,2
1626202,Joe Young,G,1,1
201155,Rodney Stuckey,G,2,1
201588,George Hill,G,3,1
202730,Lavoy Allen,F-C,5,4
201978,Chase Budinger,F,10,3
101145,Monta Ellis,G,11,1
202331,Paul George,F,13,3
201941,Jordan Hill,C,27,5
101133,Ian Mahinmi,C,28,5
1626167,Myles Turner,F-C,33,4
203922,Glenn Robinson III,G-F,40,2
203524,Solomon Hill,F,44,3
203083,Andre Drummond,C,0,5
202704,Reggie Jackson,G,1,1
1626169,Stanley Johnson,F,3,3
203484,Kentavious Caldwell-Pope,G,5,1
1626199,Darrun Hilliard,F,6,3
201943,Brandon Jennings,G,7,1
203382,Aron Baynes,F-C,12,4
202694,Marcus Morris,F,13,3
2581,Steve Blake,G,22,1
101141,Ersan Ilyasova,F,23,3
203493,Reggie Bullock,F,25,3
201229,Anthony Tolliver,F,43,3
201202,Joel Anthony,C,50,5
1495,Tim Duncan,C-F,21,4
1938,Manu Ginobili,G,20,1
2225,Tony Parker,G,9,1
2561,David West,F,30,3
2564,Boris Diaw,C-F,33,4
2588,Matt Bonner,C-F,15,4
200746,LaMarcus Aldridge,F,12,3
201980,Danny Green,G-F,14,2
201988,Patty Mills,G,8,1
202695,Kawhi Leonard,F,2,3
203613,Jonathon Simmons,G-F,17,2
203937,Kyle Anderson,F,1,3
1626246,Boban Marjanovic,C,40,5
1891,Jason Terry,G,31,1
2730,Dwight Howard,C,12,5
2772,Trevor Ariza,F,1,3
201147,Corey Brewer,G-F,33,2
201935,James Harden,G,13,1
201951,Ty Lawson,G,3,1
201976,Patrick Beverley,G,2,1
201977,Marcus Thornton,F-G,10,2
202700,Donatas Motiejunas,F-C,20,4
203093,Terrence Jones,F,6,3
203909,KJ McDaniels,G-F,32,2
203991,Clint Capela,F-C,15,4
1626149,Montrezl Harrell,F,35,3
